epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,4952.5,1.31866,1.00259,0.00902,0.74247,0.58497,0.66064,0.41359,1.27099,1.08118,0.01081,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,5113.61,1.31693,0.99487,0.00888,0.70899,0.61371,0.66809,0.42107,1.27284,1.06008,0.01086,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,5271.68,1.30834,0.9787,0.00882,0.73122,0.60548,0.67614,0.42101,1.26403,1.03915,0.01087,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,5427.26,1.31103,0.98089,0.00881,0.68888,0.63324,0.68166,0.42451,1.26621,1.04572,0.0108,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,5582.66,1.29407,0.97128,0.00883,0.67847,0.66962,0.69386,0.43509,1.25927,1.03153,0.01063,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,5743.39,1.29404,0.9505,0.0087,0.71144,0.6596,0.70667,0.44433,1.26455,1.01698,0.01076,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,5900.5,1.2979,0.94978,0.00867,0.72927,0.66889,0.7102,0.44606,1.25521,1.0414,0.01061,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,6056.81,1.28492,0.94763,0.00866,0.69846,0.6894,0.71211,0.44519,1.26205,0.96983,0.01074,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,6212.46,1.27976,0.92538,0.00858,0.72056,0.66363,0.70581,0.44976,1.25039,0.98323,0.01057,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,6370.15,1.28318,0.92322,0.00858,0.72962,0.66071,0.70943,0.44755,1.25063,0.97135,0.01057,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,6526.06,1.26874,0.91875,0.00856,0.71289,0.67512,0.71368,0.45018,1.24879,0.98015,0.01058,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,6681.64,1.26577,0.92589,0.00851,0.71971,0.66693,0.70556,0.44935,1.23851,0.9956,0.01042,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,6838.25,1.26401,0.88806,0.00848,0.71186,0.67526,0.70673,0.44758,1.23907,1.01741,0.01041,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,6996.13,1.26624,0.87977,0.00838,0.72914,0.6727,0.71746,0.45698,1.23752,0.9962,0.01042,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,7154.38,1.25384,0.89118,0.00832,0.71066,0.66815,0.71263,0.45577,1.23655,0.99414,0.0104,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,7310.8,1.24949,0.87145,0.00828,0.72622,0.66456,0.71474,0.45743,1.23577,1.01465,0.01036,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,7469.59,1.23598,0.86591,0.00827,0.72173,0.67103,0.71267,0.45501,1.23537,1.03111,0.01031,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,7626.77,1.24323,0.84171,0.00821,0.71423,0.67498,0.71484,0.45659,1.23435,1.01372,0.01027,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,7782.45,1.23959,0.85549,0.00826,0.70675,0.68852,0.71503,0.45582,1.23444,0.9953,0.01032,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,7941.01,1.22815,0.83558,0.00811,0.7053,0.68706,0.70928,0.45907,1.23537,1.00357,0.0103,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,8075.32,1.22826,0.83796,0.00811,0.70363,0.67102,0.70986,0.46174,1.23412,1.01423,0.01028,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,8226.34,1.21704,0.82063,0.00786,0.70477,0.67234,0.71451,0.46201,1.23155,1.02499,0.01027,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,8383.75,1.21426,0.81053,0.00798,0.70448,0.66694,0.71133,0.45891,1.2273,1.04457,0.01022,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,8541.27,1.2185,0.80075,0.00797,0.71939,0.67251,0.72154,0.4638,1.22586,1.03761,0.0102,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,8698.25,1.20853,0.80222,0.00791,0.72635,0.66904,0.72187,0.46372,1.2268,1.02689,0.01023,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,8857.97,1.20877,0.80313,0.00794,0.73981,0.66783,0.7208,0.46296,1.22634,1.02492,0.01024,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,9017.01,1.19846,0.78172,0.00782,0.70359,0.69638,0.72083,0.46521,1.22483,1.01888,0.01022,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,9173.83,1.1943,0.7781,0.00779,0.72704,0.68211,0.72412,0.46649,1.22472,1.00454,0.01021,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,9334.8,1.19524,0.78201,0.00778,0.7102,0.70215,0.72561,0.46828,1.22645,0.9951,0.01025,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,9493.21,1.18416,0.76743,0.0077,0.74239,0.6739,0.72309,0.46831,1.22606,0.99233,0.01024,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,9652.05,1.17832,0.76515,0.00768,0.74879,0.66555,0.72457,0.46919,1.22694,0.9885,0.01025,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,9812.07,1.17324,0.75509,0.00766,0.71491,0.67566,0.72367,0.47008,1.22559,0.97995,0.01022,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,9973.04,1.16318,0.74618,0.00748,0.74764,0.66513,0.72741,0.47196,1.22323,0.97241,0.01019,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,10131,1.16172,0.74208,0.00751,0.73396,0.67537,0.72574,0.47326,1.22399,0.97688,0.01023,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,10292.9,1.1574,0.72771,0.0074,0.73792,0.67614,0.72696,0.47276,1.22335,0.97524,0.0102,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,10450.1,1.14901,0.72396,0.00747,0.73944,0.67705,0.72953,0.47198,1.22353,0.98003,0.01021,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,10608,1.1549,0.72416,0.00734,0.72708,0.68506,0.73057,0.47333,1.2231,0.98767,0.0102,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,10769.7,1.14028,0.71109,0.00732,0.73082,0.69432,0.73193,0.47271,1.22126,0.99571,0.01019,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,10931,1.13872,0.70635,0.00733,0.74379,0.68869,0.73465,0.47351,1.22077,0.99993,0.01018,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
