epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,360.609,1.49511,1.09091,0.00996,0.54932,0.46629,0.44019,0.19431,1.91393,1.65622,0.01466,0.000576755,0.000576755,0.000576755
43,368.663,1.46204,1.07523,0.00977,0.53468,0.49545,0.45494,0.19759,1.89549,1.64081,0.01469,0.000574554,0.000574554,0.000574554
44,376.641,1.48821,1.05823,0.00972,0.54671,0.50148,0.45628,0.20038,1.90504,1.64144,0.01483,0.000572353,0.000572353,0.000572353
45,384.61,1.48861,1.063,0.00999,0.51607,0.50979,0.45961,0.19832,1.88915,1.64582,0.0145,0.000570152,0.000570152,0.000570152
46,392.596,1.4906,1.05374,0.00981,0.54244,0.48649,0.46995,0.20872,1.88567,1.68827,0.01443,0.00056795,0.00056795,0.00056795
47,400.643,1.47604,1.04208,0.00962,0.55786,0.52481,0.48593,0.21279,1.88869,1.55866,0.01471,0.000565749,0.000565749,0.000565749
48,408.777,1.46216,1.03061,0.00961,0.56446,0.52157,0.48489,0.21512,1.90247,1.62146,0.01462,0.000563548,0.000563548,0.000563548
49,416.641,1.48277,1.0428,0.01003,0.54895,0.53427,0.4898,0.21462,1.88469,1.58875,0.01442,0.000561347,0.000561347,0.000561347
50,424.687,1.44466,1.01887,0.00961,0.53645,0.53262,0.47967,0.20803,1.89961,1.58922,0.01441,0.000559146,0.000559146,0.000559146
51,432.874,1.4555,1.00577,0.0094,0.54186,0.51449,0.47574,0.20695,1.92137,1.64275,0.01474,0.000556945,0.000556945,0.000556945
52,440.874,1.44815,0.99862,0.00949,0.58042,0.5111,0.47171,0.20783,1.92546,1.59104,0.01459,0.000554744,0.000554744,0.000554744
