epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,284.393,1.57135,2.85583,0.01924,0.45907,0.35842,0.33372,0.14272,1.78017,2.30559,0.02427,0.00999215,0.00333072,0.00999215,0.00333072,0.00999215,0.00333072,0.00999215,0.00333072
2,565.118,1.49721,2.13662,0.01807,0.49445,0.32399,0.31012,0.13629,1.83507,2.35237,0.02581,0.0199262,0.00664206,0.0199262,0.00664206,0.0199262,0.00664206,0.0199262,0.00664206
3,840.382,1.50921,2.17552,0.01842,0.39123,0.33289,0.29857,0.12341,1.89993,2.52295,0.02681,0.0297942,0.0099314,0.0297942,0.0099314,0.0297942,0.0099314,0.0297942,0.0099314
4,1110.64,1.53341,2.23962,0.01855,0.45392,0.33305,0.32407,0.13817,1.85017,2.42129,0.02593,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,1374.35,1.48186,2.10286,0.0178,0.47849,0.36786,0.3471,0.15719,1.78804,2.25715,0.02479,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,1877.4,1.4451,1.97591,0.01724,0.48116,0.36153,0.35797,0.16135,1.7855,2.21128,0.02442,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
