epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,215.301,1.54188,3.48757,0.0112,0.52191,0.30534,0.27598,0.1522,1.57059,2.0673,0.01518,0.000384026,0.000384026,0.000384026
2,386.903,1.52586,1.61845,0.01126,0.49019,0.38873,0.3586,0.20204,1.50179,1.56597,0.01419,0.000514912,0.000514912,0.000514912
3,554.782,1.43374,1.35053,0.01022,0.53722,0.54089,0.4984,0.28869,1.38508,1.31804,0.01251,0.00026146,0.00026146,0.00026146
