epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,380.421,1.34133,0.7715,0.00731,0.60274,0.50869,0.49152,0.22437,1.97072,1.68919,0.01476,0.000576755,0.000576755,0.000576755
43,388.181,1.33324,0.78694,0.00719,0.57463,0.53566,0.49935,0.23118,1.90533,1.59361,0.01367,0.000574554,0.000574554,0.000574554
44,398.186,1.29612,0.75178,0.00705,0.61227,0.50972,0.50071,0.22811,1.92985,1.65236,0.01383,0.000572353,0.000572353,0.000572353
45,405.875,1.30971,0.73678,0.00724,0.59564,0.50172,0.49161,0.22895,1.90742,1.66809,0.01358,0.000570152,0.000570152,0.000570152
46,414.085,1.33831,0.76612,0.00754,0.59357,0.50636,0.50703,0.22803,1.94651,1.61467,0.01442,0.00056795,0.00056795,0.00056795
47,422.326,1.28791,0.71228,0.00714,0.58348,0.53807,0.50568,0.22852,1.93125,1.62572,0.01428,0.000565749,0.000565749,0.000565749
48,430.625,1.29264,0.72288,0.00695,0.60688,0.54337,0.51374,0.23081,1.92289,1.60605,0.014,0.000563548,0.000563548,0.000563548
49,438.308,1.26904,0.71738,0.00711,0.61063,0.55118,0.5182,0.23315,1.92806,1.61778,0.01396,0.000561347,0.000561347,0.000561347
50,448.261,1.29544,0.71292,0.00705,0.61472,0.52205,0.51034,0.23354,1.9564,1.58943,0.01425,0.000559146,0.000559146,0.000559146
51,457.842,1.27356,0.69288,0.00665,0.59741,0.48695,0.47926,0.21567,1.92314,1.71033,0.01382,0.000556945,0.000556945,0.000556945
52,465.974,1.28112,0.69832,0.00707,0.61014,0.49717,0.47872,0.21643,1.93414,1.69805,0.01385,0.000554744,0.000554744,0.000554744
53,474.223,1.24023,0.67499,0.00661,0.57483,0.54722,0.49352,0.22145,1.94082,1.6488,0.014,0.000552543,0.000552543,0.000552543
54,482.518,1.21554,0.68225,0.00677,0.60051,0.51595,0.50185,0.22132,1.95219,1.65108,0.01413,0.000550342,0.000550342,0.000550342
55,490.73,1.24648,0.69119,0.00661,0.59747,0.50054,0.49828,0.2195,1.96549,1.69701,0.0144,0.000548141,0.000548141,0.000548141
56,498.917,1.22184,0.67202,0.00697,0.60191,0.49384,0.48418,0.21577,1.94493,1.6798,0.01397,0.00054594,0.00054594,0.00054594
57,507.244,1.26985,0.68576,0.00659,0.63205,0.49231,0.4817,0.21453,1.92215,1.78334,0.01391,0.000543738,0.000543738,0.000543738
58,515.433,1.24442,0.65287,0.00662,0.55289,0.53897,0.49231,0.21561,1.94973,1.69501,0.01406,0.000541537,0.000541537,0.000541537
59,523.874,1.19472,0.62304,0.00603,0.58718,0.51331,0.48474,0.21273,1.94971,1.72251,0.01387,0.000539336,0.000539336,0.000539336
60,532.086,1.15832,0.61072,0.0064,0.61245,0.50761,0.49138,0.21433,1.94785,1.68563,0.01382,0.000537135,0.000537135,0.000537135
61,540.274,1.16707,0.61718,0.00609,0.58475,0.51305,0.48375,0.2122,1.94956,1.7862,0.01387,0.000534934,0.000534934,0.000534934
62,548.552,1.1643,0.62186,0.00609,0.61369,0.48493,0.4857,0.22074,1.94206,1.73928,0.01398,0.000532733,0.000532733,0.000532733
63,556.841,1.16646,0.62679,0.00669,0.56953,0.51209,0.47214,0.21522,1.92998,1.79673,0.0139,0.000530532,0.000530532,0.000530532
64,565.163,1.15344,0.62665,0.00652,0.55138,0.54935,0.49248,0.22316,1.93504,1.68236,0.01363,0.000528331,0.000528331,0.000528331
65,573.407,1.15626,0.60049,0.00631,0.63926,0.48851,0.49619,0.22379,1.93256,1.73756,0.01369,0.00052613,0.00052613,0.00052613
66,581.603,1.16373,0.60204,0.00611,0.60212,0.5215,0.48962,0.21867,1.95684,1.722,0.01404,0.000523928,0.000523928,0.000523928
67,589.818,1.13864,0.59424,0.00611,0.65508,0.47191,0.49239,0.21941,1.9403,1.68574,0.01379,0.000521727,0.000521727,0.000521727
68,598.012,1.14262,0.58571,0.00625,0.6369,0.50704,0.4854,0.22011,1.91378,1.79897,0.01373,0.000519526,0.000519526,0.000519526
69,606.196,1.14542,0.57625,0.00603,0.57677,0.51426,0.4829,0.21783,1.96737,1.71041,0.0142,0.000517325,0.000517325,0.000517325
70,614.552,1.12247,0.56894,0.00579,0.59085,0.54989,0.50782,0.22641,1.96012,1.63919,0.01398,0.000515124,0.000515124,0.000515124
71,622.793,1.13509,0.58165,0.00573,0.58432,0.55872,0.51406,0.22926,1.98087,1.69995,0.01439,0.000512923,0.000512923,0.000512923
72,631.008,1.09477,0.5523,0.00584,0.59285,0.54815,0.51914,0.22705,1.97806,1.68041,0.01416,0.000510722,0.000510722,0.000510722
73,639.31,1.14391,0.57667,0.00553,0.58883,0.54762,0.51469,0.22519,1.98154,1.7658,0.01442,0.000508521,0.000508521,0.000508521
74,647.56,1.13573,0.5633,0.00566,0.63014,0.5176,0.51108,0.22466,1.97667,1.68042,0.01426,0.00050632,0.00050632,0.00050632
75,655.771,1.0804,0.5519,0.00578,0.60126,0.50737,0.48726,0.21947,1.95137,1.71005,0.01407,0.000504119,0.000504119,0.000504119
