epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,1080.78,1.10381,0.81581,0.007,0.87579,0.72066,0.81866,0.52101,1.39592,0.83072,0.01245,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,1115.2,1.09514,0.79816,0.00696,0.85899,0.7394,0.81337,0.51807,1.42494,0.85449,0.01322,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,1147.77,1.0817,0.79485,0.00697,0.8301,0.73558,0.8165,0.5211,1.39662,0.84504,0.01315,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,1181.71,1.08778,0.78443,0.00683,0.85677,0.73678,0.82231,0.52384,1.39218,0.8383,0.01235,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,1215.03,1.07893,0.76882,0.00667,0.8725,0.74055,0.83088,0.51871,1.39247,0.76994,0.01261,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,1247.56,1.06524,0.7644,0.0067,0.82065,0.75199,0.81867,0.51311,1.40148,0.86063,0.01325,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,1280.73,1.06637,0.77503,0.00666,0.88614,0.74772,0.82466,0.53802,1.35887,0.84649,0.01245,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,1314.82,1.05425,0.75388,0.00665,0.87507,0.76373,0.84024,0.54694,1.36276,0.76802,0.01199,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,1348.45,1.06897,0.75428,0.00657,0.90026,0.76383,0.84379,0.52379,1.41373,0.76278,0.01285,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,1381.46,1.06821,0.74718,0.0065,0.90902,0.76494,0.84683,0.5453,1.36678,0.6909,0.01283,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
