epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,1724.48,1.12037,0.84583,0.0071,0.86116,0.73916,0.81868,0.51297,1.51752,0.81344,0.01491,0.000424187,0.000424187,0.000424187
43,1774.2,1.10386,0.83433,0.00699,0.86127,0.75255,0.82555,0.51089,1.48928,0.81073,0.01444,0.000417119,0.000417119,0.000417119
44,1822.51,1.10795,0.83646,0.00695,0.86153,0.75706,0.82077,0.52603,1.42587,0.8301,0.01324,0.00041005,0.00041005,0.00041005
45,1869.72,1.10016,0.82246,0.00686,0.85674,0.75523,0.82217,0.51007,1.45885,0.84437,0.01449,0.000402982,0.000402982,0.000402982
46,1917.59,1.09847,0.81215,0.00679,0.86052,0.74892,0.82818,0.5225,1.43848,0.81729,0.01344,0.000395913,0.000395913,0.000395913
47,1964.16,1.07125,0.79956,0.00675,0.86007,0.77343,0.8285,0.53462,1.42696,0.82343,0.01332,0.000388844,0.000388844,0.000388844
48,2013.74,1.08849,0.80577,0.00673,0.84687,0.76283,0.83166,0.54815,1.38225,0.77749,0.01281,0.000381776,0.000381776,0.000381776
49,2062.64,1.06313,0.78073,0.00661,0.88877,0.76125,0.84215,0.55069,1.36183,0.76336,0.01236,0.000374707,0.000374707,0.000374707
50,2111.08,1.06586,0.78033,0.00652,0.85162,0.75214,0.83363,0.52382,1.40168,0.75896,0.01312,0.000367639,0.000367639,0.000367639
51,2158.97,1.07411,0.78495,0.00665,0.8868,0.75361,0.8402,0.5504,1.4032,0.76715,0.01354,0.00036057,0.00036057,0.00036057
52,2206.61,1.04015,0.76141,0.00655,0.87007,0.74415,0.82586,0.53738,1.40191,0.86382,0.0134,0.000353501,0.000353501,0.000353501
53,2255.58,1.05955,0.76988,0.00641,0.90128,0.74795,0.83857,0.53373,1.41917,0.72798,0.0133,0.000346433,0.000346433,0.000346433
54,2303.83,1.03842,0.75879,0.00636,0.86709,0.78241,0.84755,0.54479,1.38643,0.72436,0.01246,0.000339364,0.000339364,0.000339364
55,2351.77,1.03451,0.74885,0.0063,0.86427,0.7575,0.83913,0.55507,1.35225,0.80934,0.01189,0.000332296,0.000332296,0.000332296
56,2400.73,1.04871,0.75177,0.00618,0.89532,0.74618,0.83826,0.54487,1.377,0.76815,0.01265,0.000325227,0.000325227,0.000325227
57,2449.25,1.0209,0.73439,0.00619,0.84799,0.78063,0.83574,0.53942,1.41225,0.76376,0.01259,0.000318158,0.000318158,0.000318158
58,2498.4,1.0208,0.73865,0.00617,0.85277,0.7305,0.81782,0.54536,1.33346,0.78231,0.0117,0.00031109,0.00031109,0.00031109
59,2546.22,1.0049,0.73029,0.00615,0.87235,0.75763,0.83343,0.53614,1.43357,0.77278,0.01303,0.000304021,0.000304021,0.000304021
60,2595.8,1.01823,0.7196,0.00614,0.88138,0.73247,0.83443,0.53709,1.41228,0.78962,0.01308,0.000296953,0.000296953,0.000296953
61,2643.94,1.0144,0.71523,0.0061,0.90724,0.74495,0.84454,0.53711,1.4034,0.73538,0.01303,0.000289884,0.000289884,0.000289884
62,2693.32,1.00715,0.71678,0.00607,0.89683,0.75105,0.85547,0.56588,1.36168,0.71344,0.01213,0.000282815,0.000282815,0.000282815
63,2742.26,0.99777,0.69892,0.00594,0.88339,0.76144,0.8483,0.55264,1.35722,0.72904,0.01232,0.000275747,0.000275747,0.000275747
64,2792.61,0.99813,0.70101,0.00582,0.90596,0.75613,0.84288,0.55825,1.34168,0.7185,0.012,0.000268678,0.000268678,0.000268678
65,2843.34,0.99258,0.69919,0.00587,0.86197,0.78892,0.84737,0.56309,1.34042,0.71113,0.01147,0.00026161,0.00026161,0.00026161
66,2891.17,0.98411,0.693,0.00581,0.85141,0.78818,0.85177,0.55111,1.39118,0.6962,0.01264,0.000254541,0.000254541,0.000254541
67,2942.32,0.98001,0.6834,0.00575,0.92213,0.73467,0.84657,0.56399,1.30795,0.74222,0.01106,0.000247472,0.000247472,0.000247472
68,2999.05,0.9738,0.67827,0.00576,0.91388,0.7542,0.84829,0.56072,1.3414,0.73283,0.0115,0.000240404,0.000240404,0.000240404
69,3050.67,0.97899,0.6853,0.00572,0.86573,0.77692,0.85473,0.55758,1.35909,0.72444,0.01186,0.000233335,0.000233335,0.000233335
70,3104.75,0.97519,0.67168,0.00568,0.89647,0.77768,0.85241,0.56177,1.33861,0.71244,0.01168,0.000226267,0.000226267,0.000226267
71,3154.34,0.96268,0.66288,0.00565,0.89136,0.75986,0.8482,0.56426,1.33348,0.71627,0.01122,0.000219198,0.000219198,0.000219198
72,3204.07,0.9517,0.65702,0.00559,0.84279,0.79893,0.84706,0.55027,1.35597,0.74738,0.01144,0.000212129,0.000212129,0.000212129
73,3252.97,0.97096,0.66142,0.00558,0.86822,0.77179,0.84801,0.5714,1.30364,0.70457,0.01076,0.000205061,0.000205061,0.000205061
74,3303.57,0.96371,0.65499,0.00547,0.91515,0.74224,0.85269,0.56945,1.33311,0.70035,0.01161,0.000197992,0.000197992,0.000197992
75,3351.31,0.95617,0.65027,0.00549,0.85686,0.77429,0.8475,0.56715,1.29537,0.73605,0.01088,0.000190924,0.000190924,0.000190924
76,3399.44,0.93845,0.6444,0.0054,0.92643,0.75255,0.85449,0.57313,1.30138,0.71482,0.0111,0.000183855,0.000183855,0.000183855
77,3447.81,0.95093,0.64917,0.00544,0.93365,0.73798,0.85347,0.57243,1.29888,0.69602,0.01124,0.000176786,0.000176786,0.000176786
78,3495.01,0.94637,0.6441,0.00542,0.86999,0.80482,0.85269,0.57614,1.30947,0.71602,0.01128,0.000169718,0.000169718,0.000169718
79,3546.91,0.93735,0.63903,0.00529,0.87631,0.7972,0.85827,0.56998,1.31734,0.70744,0.01135,0.000162649,0.000162649,0.000162649
80,3599.09,0.93421,0.62859,0.00526,0.86953,0.8008,0.85981,0.58162,1.29435,0.71105,0.01137,0.000155581,0.000155581,0.000155581
81,3646.59,0.93144,0.61366,0.00517,0.86306,0.79802,0.85622,0.57932,1.28317,0.69717,0.01089,0.000148512,0.000148512,0.000148512
82,3693.46,0.91704,0.61859,0.00532,0.89573,0.78648,0.86013,0.58462,1.26691,0.69607,0.01099,0.000141443,0.000141443,0.000141443
83,3740.72,0.9201,0.61766,0.00522,0.93562,0.76752,0.8662,0.59791,1.24761,0.66296,0.01056,0.000134375,0.000134375,0.000134375
84,3789.27,0.92057,0.61261,0.00513,0.88553,0.80294,0.86681,0.58916,1.27783,0.68466,0.01094,0.000127306,0.000127306,0.000127306
85,3836.94,0.89839,0.61261,0.00515,0.88086,0.79543,0.86424,0.58487,1.26051,0.68936,0.0105,0.000120238,0.000120238,0.000120238
86,3885.38,0.9115,0.60511,0.00503,0.88962,0.78675,0.85896,0.5863,1.25229,0.67703,0.01046,0.000113169,0.000113169,0.000113169
87,3933.95,0.9076,0.6044,0.00507,0.87011,0.79513,0.85338,0.57713,1.27358,0.67899,0.0108,0.0001061,0.0001061,0.0001061
88,3981.66,0.90544,0.60977,0.00508,0.87215,0.8082,0.85774,0.5905,1.23451,0.70365,0.01018,9.90318e-05,9.90318e-05,9.90318e-05
89,4030.66,0.89608,0.59354,0.00503,0.88535,0.77975,0.86034,0.59342,1.25532,0.69617,0.01025,9.19632e-05,9.19632e-05,9.19632e-05
90,4079.04,0.91542,0.60111,0.00496,0.87563,0.80269,0.86113,0.59361,1.23052,0.71323,0.01022,8.48946e-05,8.48946e-05,8.48946e-05
91,4130.47,0.90165,0.49559,0.00538,0.89018,0.79196,0.85492,0.57293,1.2844,0.71976,0.01104,7.7826e-05,7.7826e-05,7.7826e-05
92,4178.11,0.88626,0.48236,0.00522,0.9044,0.78283,0.85677,0.57875,1.26909,0.71523,0.01062,7.07574e-05,7.07574e-05,7.07574e-05
93,4225.61,0.87199,0.4715,0.00511,0.89411,0.78733,0.86002,0.58263,1.29477,0.70551,0.01096,6.36888e-05,6.36888e-05,6.36888e-05
94,4273.37,0.87268,0.46815,0.005,0.89466,0.78259,0.85979,0.58495,1.28283,0.71136,0.01085,5.66202e-05,5.66202e-05,5.66202e-05
95,4321.18,0.87047,0.4714,0.00501,0.87623,0.80496,0.86251,0.58645,1.27071,0.70932,0.01078,4.95516e-05,4.95516e-05,4.95516e-05
96,4368.13,0.86088,0.46238,0.00489,0.88504,0.80221,0.85971,0.58191,1.27397,0.73193,0.01102,4.2483e-05,4.2483e-05,4.2483e-05
97,4416.81,0.8619,0.4654,0.00487,0.90932,0.783,0.86259,0.58574,1.25837,0.72778,0.01072,3.54144e-05,3.54144e-05,3.54144e-05
98,4465.08,0.8544,0.46345,0.00488,0.90228,0.78099,0.86035,0.58639,1.25136,0.73064,0.01058,2.83458e-05,2.83458e-05,2.83458e-05
99,4513.02,0.85488,0.45902,0.00487,0.91135,0.78626,0.86454,0.58442,1.25976,0.72304,0.01074,2.12772e-05,2.12772e-05,2.12772e-05
100,4560.39,0.84936,0.45875,0.00489,0.89729,0.79427,0.86374,0.58624,1.25462,0.72397,0.01065,1.42086e-05,1.42086e-05,1.42086e-05
