epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,263.887,1.47873,0.854,0.00907,0.53626,0.50962,0.46184,0.20115,1.84661,1.62035,0.02012,0.000576755,0.000576755,0.000576755
43,269.65,1.46846,0.83065,0.00888,0.55012,0.50266,0.4648,0.19337,1.81254,1.74793,0.01908,0.000574554,0.000574554,0.000574554
44,275.375,1.48264,0.95333,0.01082,0.55733,0.49961,0.46119,0.19961,1.79559,1.68766,0.01785,0.000572353,0.000572353,0.000572353
45,281.011,1.45225,0.82905,0.00939,0.52702,0.50334,0.45691,0.19785,1.78196,1.78535,0.01839,0.000570152,0.000570152,0.000570152
46,286.631,1.40026,0.78291,0.00939,0.55567,0.53095,0.48986,0.21466,1.79657,1.6664,0.01757,0.00056795,0.00056795,0.00056795
47,293.042,1.42398,0.79735,0.00939,0.56884,0.45032,0.45316,0.20291,1.87968,1.65092,0.02085,0.000565749,0.000565749,0.000565749
48,298.709,1.38876,0.74926,0.00847,0.55175,0.51355,0.46551,0.20538,1.82616,1.64579,0.01852,0.000563548,0.000563548,0.000563548
49,304.308,1.4054,0.77626,0.01046,0.56611,0.48433,0.46306,0.20201,1.82778,1.68711,0.01854,0.000561347,0.000561347,0.000561347
50,310.056,1.41602,0.75318,0.00838,0.532,0.50265,0.47709,0.20975,1.82978,1.64322,0.01881,0.000559146,0.000559146,0.000559146
51,315.631,1.3748,0.79619,0.00889,0.56587,0.48217,0.45898,0.20495,1.8174,1.60104,0.01792,0.000556945,0.000556945,0.000556945
52,321.286,1.42047,0.76946,0.00825,0.55795,0.48312,0.46115,0.20103,1.79332,1.67019,0.01781,0.000554744,0.000554744,0.000554744
53,327.008,1.3528,0.70934,0.00808,0.56528,0.47904,0.45171,0.19782,1.86847,1.73213,0.01996,0.000552543,0.000552543,0.000552543
54,332.644,1.3827,0.7515,0.00842,0.56238,0.48296,0.47495,0.20835,1.8111,1.77654,0.01781,0.000550342,0.000550342,0.000550342
55,338.431,1.38448,0.69005,0.0084,0.54447,0.50393,0.4518,0.19752,1.86086,1.72134,0.0187,0.000548141,0.000548141,0.000548141
56,344.198,1.35558,0.67469,0.00826,0.57443,0.51441,0.48509,0.21238,1.87619,1.55308,0.01963,0.00054594,0.00054594,0.00054594
57,349.801,1.35549,0.69624,0.00806,0.52635,0.52934,0.46808,0.19918,1.81198,1.60663,0.01751,0.000543738,0.000543738,0.000543738
58,355.445,1.31361,0.65501,0.00819,0.59326,0.46028,0.45825,0.20025,1.80826,1.66658,0.01787,0.000541537,0.000541537,0.000541537
59,361.337,1.33968,0.65991,0.00783,0.56881,0.49831,0.46889,0.20143,1.8569,1.62907,0.01851,0.000539336,0.000539336,0.000539336
60,367.364,1.29629,0.80714,0.00761,0.55945,0.4962,0.45493,0.19864,1.81221,1.68847,0.01823,0.000537135,0.000537135,0.000537135
61,373.389,1.34839,0.74454,0.00891,0.58944,0.47307,0.46288,0.2026,1.84459,1.57445,0.01855,0.000534934,0.000534934,0.000534934
62,379.408,1.3531,0.71477,0.00791,0.58821,0.49447,0.45917,0.20159,1.78906,1.66129,0.01809,0.000532733,0.000532733,0.000532733
63,385.364,1.32059,0.66921,0.00766,0.56091,0.49588,0.46522,0.20665,1.84131,1.67176,0.01923,0.000530532,0.000530532,0.000530532
64,391.245,1.29286,0.65662,0.00763,0.56271,0.51319,0.47589,0.21056,1.83413,1.66677,0.01857,0.000528331,0.000528331,0.000528331
65,396.92,1.35313,0.6431,0.00755,0.5607,0.50327,0.4691,0.20469,1.90924,1.7165,0.02029,0.00052613,0.00052613,0.00052613
66,402.509,1.26565,0.59598,0.00771,0.6176,0.49563,0.48732,0.20884,1.87067,1.81888,0.01946,0.000523928,0.000523928,0.000523928
67,408.218,1.26786,0.59462,0.00858,0.55061,0.52421,0.46338,0.20199,1.78845,1.59946,0.01682,0.000521727,0.000521727,0.000521727
68,413.826,1.29324,0.65186,0.00751,0.496,0.51831,0.4598,0.20184,1.83329,1.53402,0.01761,0.000519526,0.000519526,0.000519526
69,419.553,1.19915,0.59706,0.00702,0.58712,0.47793,0.45738,0.20051,1.78144,1.54069,0.01666,0.000517325,0.000517325,0.000517325
70,425.32,1.25956,0.60357,0.00787,0.57763,0.51271,0.46638,0.20187,1.83604,1.69379,0.01845,0.000515124,0.000515124,0.000515124
71,431.008,1.25272,0.6149,0.00721,0.61768,0.47413,0.47457,0.20104,1.82702,1.62283,0.01765,0.000512923,0.000512923,0.000512923
