epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,1609.21,0.85574,0.41732,0.00493,0.51529,0.42664,0.38846,0.1746,2.126,2.26561,0.01635,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,1658.53,0.86628,0.41806,0.00493,0.58628,0.42183,0.38844,0.16693,2.1692,2.507,0.01659,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,1708.02,0.85208,0.40744,0.00481,0.5729,0.43414,0.40225,0.1781,2.15046,2.32829,0.01662,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,1757.47,0.84135,0.40489,0.00483,0.58776,0.4384,0.39891,0.17362,2.14414,2.28977,0.01665,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,1806.73,0.82479,0.39007,0.00467,0.58995,0.42301,0.3957,0.17932,2.13771,2.26896,0.01659,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,1855.97,0.82875,0.39626,0.00471,0.58848,0.42528,0.38531,0.179,2.10894,2.32326,0.01618,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,1905.37,0.82319,0.39284,0.00463,0.59598,0.42124,0.38367,0.16978,2.1733,2.31581,0.01661,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,1954.6,0.81921,0.38884,0.00468,0.56321,0.39605,0.36948,0.15793,2.18892,2.48168,0.01672,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,2003.98,0.81146,0.38555,0.00459,0.57322,0.42235,0.38525,0.17239,2.15031,2.4555,0.01652,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,2053.35,0.80176,0.37354,0.00445,0.59464,0.41922,0.3825,0.16886,2.16858,2.49614,0.01668,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,2102.86,0.79488,0.37921,0.00439,0.62428,0.40526,0.37599,0.16706,2.15581,2.526,0.01657,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,2151.94,0.78812,0.37078,0.00446,0.59037,0.41777,0.38973,0.1713,2.13536,2.46679,0.01636,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,2201.37,0.77969,0.3653,0.00434,0.59347,0.41311,0.37305,0.1673,2.15623,2.46948,0.01683,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,2250.73,0.77957,0.36415,0.00434,0.58358,0.42676,0.39507,0.17176,2.1408,2.44355,0.01636,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,2300.09,0.76812,0.35683,0.00426,0.61677,0.41946,0.39923,0.17727,2.11785,2.3488,0.01605,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,2349.46,0.7657,0.35271,0.0042,0.59389,0.42652,0.38616,0.16901,2.15664,2.49073,0.01673,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,2398.7,0.75191,0.34778,0.00419,0.57762,0.42552,0.38809,0.17418,2.1153,2.37691,0.01632,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,2447.92,0.75311,0.34492,0.00421,0.64398,0.42747,0.39411,0.17349,2.13315,2.36817,0.01657,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,2497.34,0.75279,0.34953,0.00412,0.57961,0.40277,0.37283,0.16572,2.15643,2.57887,0.0169,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,2546.49,0.74467,0.34561,0.00423,0.58787,0.43936,0.38822,0.1735,2.12733,2.36956,0.01661,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,2595.83,0.75326,0.34406,0.00411,0.60858,0.42801,0.38126,0.16615,2.17818,2.41425,0.01684,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,2647.31,0.73521,0.33778,0.00408,0.59055,0.42183,0.38437,0.16863,2.14032,2.44893,0.01671,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,2699.48,0.72934,0.33146,0.00405,0.58383,0.42286,0.38762,0.16833,2.13605,2.3949,0.01668,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,2752.11,0.73292,0.33257,0.00398,0.58895,0.41342,0.37887,0.16629,2.12185,2.50482,0.01638,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,2805.32,0.72487,0.32815,0.00399,0.60429,0.39694,0.36737,0.1575,2.1804,2.56765,0.01719,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,2858.73,0.70975,0.32381,0.004,0.59229,0.41156,0.36997,0.16267,2.16507,2.50098,0.0169,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
