epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,18802.9,1.28445,1.69379,1.57253,0.63942,0.45855,0.48822,0.21393,2.00751,1.95903,2.22208,0.000424187,0.000424187,0.000424187
43,19201.5,1.28995,1.69876,1.57024,0.63643,0.42852,0.46511,0.19797,2.01991,2.02996,2.2616,0.000417119,0.000417119,0.000417119
44,19599.1,1.27241,1.67533,1.56079,0.68756,0.43311,0.49159,0.22773,1.99649,1.9463,2.21264,0.00041005,0.00041005,0.00041005
45,19997.4,1.27845,1.66263,1.5597,0.63964,0.44147,0.47819,0.20512,2.02752,2.00175,2.24042,0.000402982,0.000402982,0.000402982
46,20396.2,1.27951,1.65942,1.55443,0.6058,0.4148,0.45478,0.19702,2.04909,2.03133,2.27399,0.000395913,0.000395913,0.000395913
47,20794.6,1.26713,1.64595,1.5501,0.71197,0.43455,0.49608,0.22788,1.98778,1.87458,2.19783,0.000388844,0.000388844,0.000388844
48,21193.2,1.27182,1.63189,1.54743,0.689,0.43733,0.48046,0.20351,2.03898,2.00564,2.24283,0.000381776,0.000381776,0.000381776
49,21591.7,1.27465,1.63259,1.54748,0.67759,0.44836,0.50056,0.2128,2.01949,1.9295,2.24178,0.000374707,0.000374707,0.000374707
50,21990.6,1.2603,1.61621,1.54244,0.64067,0.47357,0.5015,0.21894,2.04914,1.93352,2.25764,0.000367639,0.000367639,0.000367639
51,22389.1,1.24733,1.58732,1.53118,0.67692,0.48377,0.5137,0.23491,1.99615,1.87729,2.1752,0.00036057,0.00036057,0.00036057
52,22787.1,1.25024,1.58028,1.52943,0.66639,0.44215,0.49429,0.22949,2.00396,1.90335,2.20485,0.000353501,0.000353501,0.000353501
53,23186,1.25099,1.56966,1.52161,0.73002,0.45593,0.52105,0.22235,2.03665,1.85171,2.22224,0.000346433,0.000346433,0.000346433
54,23584.4,1.23722,1.55804,1.5154,0.71992,0.4747,0.51968,0.24472,1.9281,1.81986,2.12394,0.000339364,0.000339364,0.000339364
55,23985.3,1.22985,1.54952,1.51062,0.6766,0.47517,0.50997,0.22705,1.98126,1.84374,2.1713,0.000332296,0.000332296,0.000332296
56,24386.3,1.24402,1.54377,1.51602,0.69971,0.49659,0.52595,0.25355,1.94134,1.80452,2.11604,0.000325227,0.000325227,0.000325227
57,24785,1.23186,1.53163,1.50769,0.71394,0.48768,0.52705,0.24351,1.94864,1.78405,2.14492,0.000318158,0.000318158,0.000318158
58,25183.4,1.22308,1.51899,1.50519,0.72684,0.47585,0.53787,0.25655,1.93994,1.7585,2.13003,0.00031109,0.00031109,0.00031109
59,25582.4,1.22283,1.52273,1.50021,0.7348,0.47889,0.53337,0.24696,1.95489,1.74963,2.1401,0.000304021,0.000304021,0.000304021
60,25980.9,1.22796,1.50214,1.50452,0.67933,0.49946,0.53341,0.25899,1.92747,1.76973,2.10455,0.000296953,0.000296953,0.000296953
61,26378.2,1.21932,1.50123,1.49422,0.7928,0.48933,0.56004,0.2564,1.95237,1.71641,2.12879,0.000289884,0.000289884,0.000289884
62,26776.6,1.21558,1.49414,1.49105,0.7089,0.49496,0.54518,0.25465,1.93547,1.73347,2.13067,0.000282815,0.000282815,0.000282815
63,27175,1.22103,1.48981,1.49019,0.7419,0.5001,0.54991,0.2572,1.92661,1.72611,2.09943,0.000275747,0.000275747,0.000275747
64,27573.4,1.21688,1.47965,1.48421,0.71295,0.48729,0.54843,0.2551,1.94149,1.7217,2.11333,0.000268678,0.000268678,0.000268678
65,27970.9,1.20318,1.465,1.47897,0.69662,0.52051,0.55523,0.27332,1.86876,1.70085,2.06154,0.00026161,0.00026161,0.00026161
66,28368.9,1.20028,1.46429,1.48246,0.73604,0.514,0.55357,0.25962,1.93809,1.70199,2.12699,0.000254541,0.000254541,0.000254541
67,28766.8,1.19495,1.45416,1.4746,0.76543,0.50968,0.57279,0.27012,1.94284,1.65624,2.11534,0.000247472,0.000247472,0.000247472
68,29165.1,1.1956,1.43348,1.46905,0.75549,0.50147,0.56549,0.2779,1.86885,1.65601,2.04776,0.000240404,0.000240404,0.000240404
69,29563.1,1.19693,1.42883,1.4722,0.763,0.47471,0.53695,0.2594,1.91645,1.67391,2.09921,0.000233335,0.000233335,0.000233335
70,29961.4,1.18617,1.42868,1.46962,0.74559,0.53174,0.57572,0.27201,1.8854,1.62405,2.07457,0.000226267,0.000226267,0.000226267
71,30360.6,1.18527,1.41655,1.46769,0.74234,0.52457,0.57074,0.27496,1.90665,1.62566,2.0863,0.000219198,0.000219198,0.000219198
72,30758.7,1.18175,1.41805,1.46486,0.72991,0.5221,0.56422,0.27654,1.88655,1.64027,2.06691,0.000212129,0.000212129,0.000212129
73,31186.6,1.17773,1.40519,1.4564,0.77215,0.49845,0.56365,0.26969,1.92328,1.6461,2.11165,0.000205061,0.000205061,0.000205061
74,31626.3,1.1895,1.41368,1.45847,0.74111,0.51032,0.56778,0.27077,1.88991,1.63544,2.06569,0.000197992,0.000197992,0.000197992
75,32063.9,1.18033,1.40753,1.45982,0.79555,0.5052,0.56269,0.26134,1.94151,1.66058,2.11601,0.000190924,0.000190924,0.000190924
76,32465.5,1.18492,1.38383,1.45325,0.75215,0.51277,0.57245,0.28095,1.88783,1.61965,2.07589,0.000183855,0.000183855,0.000183855
77,32972.9,1.16186,1.37824,1.4508,0.74354,0.51277,0.56503,0.26974,1.90511,1.63391,2.07987,0.000176786,0.000176786,0.000176786
78,37391.5,1.16692,1.37955,1.44691,0.76927,0.52751,0.57834,0.28165,1.87605,1.59979,2.04609,0.000169718,0.000169718,0.000169718
79,37921.4,1.16048,1.3624,1.44356,0.76556,0.50474,0.56759,0.27539,1.88704,1.62291,2.0594,0.000162649,0.000162649,0.000162649
80,39225.8,1.15994,1.35936,1.4432,0.7521,0.51269,0.56185,0.27277,1.8907,1.61356,2.07475,0.000155581,0.000155581,0.000155581
81,40859.3,1.14633,1.36337,1.4357,0.77633,0.5042,0.56987,0.2775,1.86957,1.57391,2.04646,0.000148512,0.000148512,0.000148512
82,41947.9,1.14675,1.35154,1.43177,0.779,0.5134,0.56909,0.27651,1.89835,1.58829,2.0811,0.000141443,0.000141443,0.000141443
83,42477.5,1.15178,1.33976,1.43289,0.76669,0.52048,0.57588,0.28572,1.8924,1.5667,2.07546,0.000134375,0.000134375,0.000134375
84,43015,1.15041,1.33357,1.42688,0.80048,0.52861,0.59395,0.30059,1.85666,1.53481,2.0402,0.000127306,0.000127306,0.000127306
85,43548.4,1.1501,1.3406,1.43053,0.76953,0.52357,0.58785,0.28387,1.87346,1.55008,2.04898,0.000120238,0.000120238,0.000120238
