epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,4568.13,1.25566,0.75536,0.00674,0.87629,0.796,0.86033,0.52463,1.24406,0.67884,0.0088,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,4707.54,1.25306,0.75242,0.00667,0.8645,0.80501,0.86499,0.53018,1.2402,0.67641,0.00889,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,4848.32,1.24928,0.74551,0.00663,0.86844,0.80477,0.8671,0.53307,1.23032,0.6769,0.00866,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,4989.32,1.2385,0.73905,0.00661,0.87058,0.81022,0.87023,0.53765,1.22779,0.66188,0.00869,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,5129.94,1.23518,0.73514,0.0066,0.86029,0.81634,0.87316,0.53482,1.22803,0.65045,0.00871,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,5269.22,1.23092,0.71731,0.0065,0.87967,0.81381,0.87699,0.54101,1.20897,0.65261,0.00854,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,5409.93,1.2269,0.71301,0.0065,0.87715,0.80642,0.8703,0.5376,1.21411,0.65869,0.0085,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,5548.88,1.22115,0.71341,0.00643,0.87301,0.81546,0.87739,0.54621,1.20845,0.64715,0.00854,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,5688.99,1.21324,0.70114,0.00639,0.87099,0.81962,0.87537,0.5452,1.20595,0.65096,0.00851,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,5827.96,1.20934,0.69761,0.00637,0.88259,0.81447,0.87969,0.55132,1.20081,0.64159,0.00849,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,5968.01,1.19466,0.6913,0.00633,0.88337,0.81643,0.87926,0.55031,1.19903,0.63909,0.00843,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,6106.93,1.20036,0.69373,0.00633,0.88512,0.81145,0.87949,0.55505,1.18841,0.63572,0.00835,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
