epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,1417.97,1.03068,0.72213,0.00633,0.85406,0.76572,0.83277,0.51082,1.48066,0.8253,0.01401,0.000520792,0.000520792,0.000520792
43,1450.23,1.03706,0.71949,0.00621,0.85089,0.76577,0.83485,0.54661,1.35319,0.76911,0.01241,0.000516079,0.000516079,0.000516079
44,1484.73,1.01947,0.70252,0.00614,0.86753,0.75872,0.83492,0.5426,1.35087,0.75109,0.01237,0.000511367,0.000511367,0.000511367
45,1517.05,1.00722,0.70182,0.00616,0.84692,0.7753,0.84648,0.54274,1.34656,0.74048,0.01229,0.000506654,0.000506654,0.000506654
46,1549.96,1.01113,0.71179,0.00628,0.90891,0.77534,0.85592,0.55391,1.31384,0.70842,0.01181,0.000501942,0.000501942,0.000501942
47,1584.53,1.01739,0.69974,0.00608,0.87192,0.76016,0.83059,0.55109,1.31404,0.74591,0.01191,0.00049723,0.00049723,0.00049723
48,1617.52,0.99705,0.6834,0.00611,0.89416,0.76157,0.84214,0.56086,1.30917,0.71575,0.01158,0.000492517,0.000492517,0.000492517
49,1651.38,0.9799,0.66768,0.00592,0.86705,0.79325,0.85026,0.54122,1.4105,0.72179,0.01278,0.000487805,0.000487805,0.000487805
50,1683.99,0.99069,0.66475,0.00588,0.90985,0.78252,0.8611,0.56904,1.30686,0.69184,0.01115,0.000483092,0.000483092,0.000483092
51,1717.95,0.9856,0.66459,0.00589,0.89751,0.76629,0.85117,0.56145,1.32874,0.68007,0.01202,0.00047838,0.00047838,0.00047838
52,1750.44,0.97118,0.65572,0.00596,0.85993,0.79878,0.85467,0.56904,1.34626,0.68598,0.01192,0.000473668,0.000473668,0.000473668
53,1784.18,0.96569,0.6565,0.00586,0.8917,0.78462,0.85317,0.56356,1.3016,0.65524,0.01163,0.000468955,0.000468955,0.000468955
54,1816.8,0.97332,0.6438,0.00576,0.87212,0.76984,0.84244,0.55369,1.3288,0.6883,0.01227,0.000464243,0.000464243,0.000464243
55,1849.22,0.96336,0.63814,0.00575,0.8872,0.7683,0.84134,0.5506,1.31329,0.69977,0.01185,0.00045953,0.00045953,0.00045953
56,1882.47,0.96114,0.64144,0.0057,0.86435,0.78564,0.84627,0.56666,1.2763,0.67729,0.01145,0.000454818,0.000454818,0.000454818
57,1915.02,0.94538,0.63338,0.0056,0.85771,0.79568,0.85385,0.57977,1.28435,0.66268,0.01134,0.000450106,0.000450106,0.000450106
58,1949.3,0.95159,0.63033,0.0056,0.89382,0.76761,0.85215,0.58038,1.24009,0.69301,0.01096,0.000445393,0.000445393,0.000445393
59,1983.01,0.94088,0.62357,0.00564,0.86698,0.75899,0.84115,0.56634,1.2933,0.69668,0.01209,0.000440681,0.000440681,0.000440681
60,2015.57,0.94394,0.62322,0.00551,0.89389,0.78501,0.86458,0.56418,1.2971,0.67623,0.01138,0.000435968,0.000435968,0.000435968
61,2047.56,0.9349,0.61699,0.00552,0.88992,0.78341,0.84684,0.57124,1.27549,0.71888,0.01123,0.000431256,0.000431256,0.000431256
62,2080.09,0.91485,0.60686,0.00549,0.89752,0.78481,0.85421,0.55902,1.28345,0.69743,0.0118,0.000426544,0.000426544,0.000426544
63,2112.08,0.9186,0.60204,0.00544,0.87717,0.80443,0.85331,0.56198,1.27914,0.66784,0.01135,0.000421831,0.000421831,0.000421831
64,2144.6,0.92555,0.59916,0.00538,0.88314,0.78437,0.85116,0.56687,1.28811,0.66607,0.01194,0.000417119,0.000417119,0.000417119
65,2177.07,0.91203,0.58542,0.00526,0.89053,0.80142,0.86282,0.57653,1.28573,0.65777,0.01159,0.000412406,0.000412406,0.000412406
