epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,4641.97,1.42341,0.82403,0.00704,0.86493,0.7957,0.85784,0.51167,1.51849,0.75209,0.00941,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,4785.65,1.42432,0.81763,0.00695,0.87215,0.8024,0.86389,0.51629,1.51786,0.73839,0.00934,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,4929.85,1.42276,0.80052,0.00698,0.8785,0.79222,0.86173,0.51616,1.5172,0.73819,0.00937,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,5072.44,1.40789,0.80966,0.00694,0.87178,0.80708,0.86651,0.52341,1.49901,0.72753,0.00928,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,5216.12,1.40912,0.80365,0.00696,0.88087,0.80037,0.86651,0.52491,1.50001,0.72204,0.00924,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,5359.87,1.39704,0.78514,0.00681,0.87454,0.81011,0.87189,0.52973,1.49806,0.7154,0.00923,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,5503.23,1.39508,0.77606,0.00682,0.88059,0.80805,0.86832,0.53012,1.49194,0.7218,0.00923,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,5646.96,1.39207,0.77311,0.00675,0.8712,0.81602,0.87267,0.5329,1.49475,0.71045,0.00921,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,5790.51,1.37302,0.75915,0.00668,0.88173,0.81152,0.87337,0.5376,1.48361,0.69989,0.00917,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,5934.01,1.37639,0.74666,0.00666,0.88662,0.81016,0.8776,0.53717,1.48773,0.69645,0.00919,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,6076.48,1.36222,0.74398,0.00667,0.8817,0.81679,0.8776,0.54041,1.48238,0.68488,0.00917,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,6220.42,1.36586,0.74833,0.00668,0.87436,0.81881,0.87578,0.53785,1.48044,0.69914,0.00922,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,6362.82,1.34874,0.7386,0.00659,0.88641,0.81506,0.88009,0.54525,1.46935,0.685,0.00906,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,6506.64,1.35274,0.72387,0.00644,0.88254,0.82332,0.88146,0.54864,1.46544,0.68111,0.00902,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,6649.67,1.33996,0.71684,0.00647,0.8798,0.82297,0.88319,0.55015,1.45673,0.68271,0.009,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,6792.94,1.33923,0.72318,0.00644,0.89922,0.81243,0.88445,0.55119,1.46901,0.67817,0.00912,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
48,6936.23,1.32889,0.70822,0.00642,0.89724,0.82141,0.885,0.55257,1.46227,0.67643,0.009,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,7079.69,1.32176,0.70879,0.00641,0.88654,0.82506,0.88432,0.55398,1.46374,0.68245,0.00904,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
50,7223.27,1.32151,0.70425,0.00629,0.892,0.82416,0.88569,0.55816,1.44846,0.67774,0.00892,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
51,7366.44,1.31708,0.69592,0.00637,0.89536,0.82491,0.88625,0.55658,1.44767,0.66588,0.00893,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
52,7509.01,1.30604,0.69258,0.00621,0.90027,0.82331,0.88766,0.55662,1.45205,0.67002,0.00895,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
53,7648.97,1.30244,0.68456,0.00622,0.89272,0.82775,0.88524,0.55625,1.45106,0.6773,0.00895,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
54,7793.56,1.29742,0.67805,0.00617,0.894,0.8305,0.88659,0.55984,1.45135,0.66017,0.00893,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
55,7940.25,1.29256,0.67155,0.00615,0.89259,0.83319,0.88694,0.56041,1.44583,0.67135,0.0089,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
56,8085.85,1.28765,0.66528,0.00611,0.90609,0.828,0.89116,0.56305,1.44404,0.66862,0.00887,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
57,8231.41,1.27269,0.66426,0.00602,0.89882,0.83184,0.88807,0.56259,1.44234,0.66382,0.00891,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
58,8376.1,1.27154,0.65569,0.00606,0.9015,0.82636,0.8888,0.56628,1.43193,0.66718,0.0088,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
59,8522.32,1.26944,0.6629,0.00612,0.88418,0.83934,0.88878,0.56712,1.43052,0.66749,0.00882,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
60,8668.19,1.26248,0.65,0.00595,0.90381,0.83087,0.88937,0.568,1.42951,0.65413,0.00881,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
61,8814.72,1.26058,0.65209,0.00595,0.89534,0.83415,0.89071,0.56888,1.42506,0.66284,0.0088,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
62,8962.58,1.24843,0.634,0.00585,0.90611,0.83426,0.89325,0.57224,1.41942,0.66107,0.00874,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
63,9111.89,1.24773,0.63568,0.00588,0.90552,0.83184,0.89338,0.5739,1.41994,0.65954,0.00876,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
64,9261.2,1.2414,0.63354,0.00585,0.91475,0.82888,0.89541,0.57507,1.42243,0.64881,0.00875,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
65,9410.84,1.23076,0.62528,0.00582,0.90524,0.83664,0.89666,0.57654,1.4209,0.65186,0.00877,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
66,9557.19,1.22328,0.62265,0.00571,0.90009,0.84089,0.8957,0.57832,1.41855,0.65034,0.00874,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
67,9703.83,1.22903,0.6242,0.00577,0.9015,0.83747,0.89622,0.57976,1.41313,0.65842,0.0087,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
68,9851.71,1.214,0.61959,0.00566,0.90376,0.83901,0.8968,0.57988,1.41163,0.65864,0.00871,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
69,9998.56,1.22188,0.6107,0.00569,0.88971,0.84844,0.89721,0.58085,1.41247,0.65381,0.0087,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
70,10144.8,1.20938,0.60707,0.00563,0.8976,0.84857,0.89955,0.58281,1.41222,0.64883,0.00873,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
71,10290.2,1.20537,0.59745,0.00557,0.89269,0.85173,0.89867,0.58244,1.40947,0.6467,0.0087,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
72,10433.8,1.19495,0.59181,0.00555,0.90235,0.84216,0.89841,0.58376,1.40179,0.64171,0.00865,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314
73,10579.4,1.1911,0.58653,0.00552,0.91455,0.83808,0.89884,0.58261,1.40343,0.64567,0.00868,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
74,10723.7,1.18755,0.58674,0.00548,0.90764,0.84399,0.89948,0.58453,1.40111,0.64281,0.00868,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182
75,10868.9,1.17521,0.58338,0.0055,0.90683,0.84564,0.89929,0.5862,1.40074,0.63836,0.00869,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116
76,11014.5,1.16654,0.57444,0.00546,0.90719,0.84377,0.89898,0.58585,1.39856,0.64567,0.00869,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
77,11158.4,1.17679,0.57654,0.00539,0.91206,0.84443,0.89959,0.58539,1.39816,0.64855,0.00866,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984
78,11301.5,1.16767,0.57396,0.00545,0.9122,0.83799,0.89901,0.58533,1.40357,0.64351,0.0087,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918
79,11445.7,1.15656,0.57231,0.00536,0.91453,0.84265,0.89991,0.58702,1.40278,0.64265,0.0087,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
80,11591.1,1.15523,0.56148,0.00524,0.90656,0.84353,0.90049,0.58808,1.40155,0.64683,0.00869,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786
81,11736,1.15549,0.55954,0.00522,0.90993,0.84257,0.89897,0.58859,1.39834,0.65254,0.00864,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
82,11881.2,1.14452,0.55832,0.00531,0.91647,0.83489,0.89859,0.5883,1.3998,0.65392,0.00867,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
83,12025.6,1.13235,0.55973,0.00522,0.90291,0.84745,0.89862,0.58915,1.39608,0.65571,0.00866,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588
84,12172.6,1.13297,0.54303,0.00521,0.90562,0.84219,0.89869,0.58958,1.39131,0.65933,0.00863,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522
85,12319.2,1.12923,0.54738,0.00516,0.90444,0.84028,0.89889,0.5907,1.38853,0.66198,0.0086,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
86,12466.5,1.12267,0.53709,0.00515,0.90633,0.84382,0.89831,0.59146,1.39129,0.65716,0.00863,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
87,12612.7,1.12274,0.54013,0.00511,0.91577,0.83924,0.89752,0.5913,1.38965,0.65903,0.00863,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324
88,12757.7,1.11757,0.53568,0.00506,0.91504,0.84186,0.89681,0.59144,1.39026,0.65878,0.00863,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
89,12902.6,1.1083,0.53575,0.00505,0.91389,0.83832,0.89699,0.59174,1.39248,0.65548,0.00863,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192
90,13048.3,1.10676,0.52841,0.00508,0.91513,0.83512,0.89758,0.59218,1.39109,0.65541,0.00862,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126
91,13193.7,1.09668,0.5267,0.00496,0.91304,0.84187,0.89814,0.59173,1.38992,0.65559,0.00862,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
92,13337.5,1.09874,0.52548,0.00498,0.90444,0.8451,0.89817,0.59266,1.3908,0.65506,0.00863,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994
93,13482.7,1.08817,0.51991,0.00484,0.90815,0.84308,0.89894,0.5925,1.39348,0.65413,0.00864,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928
94,13627,1.08375,0.51237,0.0049,0.91219,0.84186,0.89986,0.59303,1.39265,0.65295,0.00864,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
95,13772.4,1.07824,0.50738,0.00488,0.90806,0.84619,0.89936,0.59288,1.39132,0.65184,0.00864,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796
96,13917.1,1.07349,0.51126,0.00481,0.90812,0.84639,0.8993,0.59318,1.39085,0.65175,0.00863,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
97,14062.5,1.06928,0.50366,0.00476,0.91088,0.84735,0.89971,0.59257,1.39169,0.65044,0.00865,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
98,14206.8,1.06086,0.50411,0.00476,0.90865,0.84809,0.90022,0.59259,1.39196,0.65277,0.00866,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598
99,14350.9,1.06192,0.50568,0.00471,0.91151,0.84724,0.89942,0.59347,1.39068,0.65362,0.00865,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532
100,14496.2,1.05082,0.49844,0.00469,0.91266,0.84594,0.89918,0.59349,1.39012,0.65413,0.00864,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
101,14641.5,1.04105,0.49172,0.00468,0.91469,0.84503,0.90043,0.59382,1.38945,0.65319,0.00864,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
102,14786.7,1.0402,0.48912,0.00465,0.91552,0.8463,0.89991,0.59356,1.38923,0.65167,0.00863,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334
103,14930.4,1.03278,0.48145,0.00463,0.91321,0.84726,0.89913,0.59403,1.38917,0.65402,0.00862,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
104,15076.6,1.03197,0.48149,0.00459,0.91575,0.84751,0.89951,0.59421,1.38981,0.65304,0.00864,0.009606,0.003202,0.009606,0.003202,0.009606,0.003202,0.009606,0.003202
105,15222.4,1.02706,0.48095,0.00457,0.91777,0.84417,0.89989,0.59434,1.39017,0.65462,0.00864,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136
106,15368.4,1.02534,0.48131,0.00453,0.91971,0.84222,0.89967,0.59492,1.38983,0.65388,0.00864,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
107,15513.6,1.01452,0.47274,0.00455,0.91977,0.84309,0.89967,0.59508,1.38954,0.65362,0.00865,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004
