epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,108.696,1.86027,3.0615,0.00994,0.63492,0.51836,0.54395,0.25597,1.85646,1.72781,0.01242,0.000383632,0.000383632,0.000383632
2,207.303,1.80988,1.57194,0.00964,0.69149,0.60218,0.63192,0.30139,1.84789,1.37832,0.01236,0.000514648,0.000514648,0.000514648
3,302.172,1.74218,1.37135,0.00909,0.7753,0.66194,0.72785,0.37243,1.74312,1.12608,0.01123,0.00026146,0.00026146,0.00026146
